,Date,Close,SMA_Close_3,SMA_Close_9,SMA_Close_18,EWA_Close_3,EWA_Close_9,EWA_Close_15,Price_Change_Class,Close_ETH,Volume_ETH,Close_USDC,Volume_USDC,vol_btc_3,vol_usdc_3
0,2018-10-08,6652.22998046875,6614.496744791667,6590.7255859375,6607.989474826389,6624.234683348814,6600.126100457995,6591.634266260192,1.0,229.2550048828125,1470740000,1.002210021018982,382900,,
1,2018-10-09,6642.64013671875,6632.606770833333,6592.623372395833,6602.861138237848,6633.437410033782,6608.628907710147,6598.010000067511,0.0,227.98199462890625,1405130000,1.0068600177764893,108803,,
2,2018-10-10,6585.52978515625,6626.799967447917,6592.168891059027,6595.280571831598,6609.483597595015,6604.009083199369,6596.449973203603,0.0,225.7689971923828,1384040000,1.009619951248169,711783,,
3,2018-10-11,6256.240234375,6494.803385416667,6558.851128472223,6570.036702473958,6432.861915985008,6534.455313434496,6553.923755850027,0.0,189.49899291992188,2167620000,1.0097800493240356,4177290,3782640000.0,401162.0
4,2018-10-12,6274.580078125,6372.11669921875,6533.516710069444,6552.212809244792,6353.720997055004,6482.480266372598,6519.005796134398,1.0,196.7270050048828,1487900000,1.012719988822937,1322240,4183366666.6666665,1665958.6666666667
5,2018-10-13,6285.990234375,6272.270182291667,6501.216742621527,6543.297254774306,6319.8556157150015,6443.182259973079,6489.878850914473,1.0,199.84100341796875,1167610000,1.0074299573898315,698507,4250930000.0,2070437.6666666667
6,2018-10-14,6290.93017578125,6283.83349609375,6464.377875434027,6531.960042317708,6305.392895748126,6412.731843134715,6465.0102665228205,1.0,195.71499633789062,1169260000,1.0163099765777588,982750,4009723333.3333335,2066012.3333333333
7,2018-10-15,6596.5400390625,6391.153483072917,6465.292317708333,6527.503933376736,6450.966467405313,6449.493482320273,6481.451488090281,1.0,209.70399475097656,2865830000,1.0268000364303589,10660400,3310950000.0,1001165.6666666666
8,2018-10-16,6596.10986328125,6494.526692708333,6464.532280815973,6524.836154513889,6523.538165343281,6478.816758512469,6495.783784989152,0.0,210.1199951171875,1532280000,1.0214300155639648,2124080,4506706666.666667,4113885.6666666665
9,2018-10-17,6544.43017578125,6579.026692708333,6452.554524739583,6521.640055338542,6533.984170562266,6491.939441966227,6501.864583838164,0.0,207.08299255371094,1444130000,1.0121899843215942,1102740,4843630000.0,4589076.666666667
